70	Shev Tomato	100	81.2592	10.6987	36.472
71	Soy Chilly	100	28.424	58.1504	53.768
72	Sonpapadi	50	137.383	5.13956	19.2178
73	Steamed Rice	100	117.04	2.6432	12.549
74	Tea	100	11.704	4.3424	2.444
75	Tomato Chutney	21	20.9	0	0
76	Tomato Rice	100	154.493	2.832	18.518
77	Savai Upama	100	268.714	51.9874	54.5536
78	Veg Kofta Curry	100	17.9143	33.7143	20.1429
79	Rasam	100	140.448	317.184	157.92
80	Rava Idli	100	271.7	75.52	47
81	Coca Cola	240	112.86	0	0
82	Raita	30	8.36	18.88	4.7
83	Dahi Vada	2	45.98	75.52	23.5
84	Sandwich	1	114.072	114.035	38.023
85	Banana	1	112.651	3.6816	6.063
86	Grape	100	75.658	1.5104	3.384
87	Pasta With Meat Sauce	100	54.6326	48.3328	37.271
88	White Bread	100	211.55	31.0576	35.908
89	Cheese Pizza With Vegetables	1	129.287	84.488	43.851
90	Banana Milk Shake	325	54.34	33.04	32.9
91	Ras Malai	1	75.24	75.52	42.3
92	Whole Wheat Flour	100	292.6	15.7333	62.6667
93	Sambhar	263	125.4	28.32	42.3
94	Yogurt	100	77.9152	10.856	18.706
95	Apple	100	0.71	130.3	1.222
96	Kachori	100	41.8418	336.91	46.248
97	Cashew	100	126.194	413.94	85.634
98	Kulcha	100	224.466	59.755	48.316
99	Butterchicken	100	18.0576	137.06	65.189
100	Potato Chips	100	207.746	354	30.832
101	Chickpeas	100	114.615	24.449	41.642
102	Gulab Jamun	100	164.106	148.68	33.605
103	Sweet Corn	100	79.503	11.139	15.04
104	Kichadi	100	95.513	11.233	19.176
105	Sarson Ka Saag	100	42.636	197.29	12.69
106	Pani Puri	5	33.44	28.32	4.7
107	Palm Dates	100	313.625	3.6816	11.515
108	Pooran Poli	100	238.26	84.96	47
109	Masala Khakhra	2	100.32	84.96	18.8
110	Mango	100	62.7	3.5872	3.854
111	Barfi	100	162.268	114.224	32.101
112	Broccoli	100	27.7552	3.4928	13.254
113	Fig	100	80.1724	2.832	3.525
114	Puri	100	195.331	89.0192	35.438
115	Drumstics	100	34.6104	13.216	44.18
116	Lamb Meat	100	10.5	83.072	143.82
117	Prawn Fry	100	83.6	160.48	56.4
118	Veggie Burger	100	59.774	59.472	73.79
119	Cheese Macaroni	100	283.82	34.928	76.14
120	Olives	100	26.166	100.819	3.948
121	Wheat Bread	100	72.634	31.152	61.1
122	Apricot	100	46.4816	3.6816	6.58
123	Chocolate Cheese Cake	100	271.7	254.88	20.68
124	Mango Chutney	30	62.7	28.32	0
125	Egg Whites	100	2.926	1.888	51.23
126	Handvi	100	68.4681	1.69176	0.84229
127	Aam Panna	100	191.026	4.72	2.35
128	Bhakri	1	99.484	72.688	23.97
129	Horlicks	100	144.628	83.072	162.62
130	Salmon	100	0	116.112	103.87
131	Red Rice	100	96.14	8.496	12.22
132	Long Beans	1	10.868	0	3.29
133	Kokum	1	119.966	0.944	0
134	Watermelon	100	31.35	1.888	2.82
135	Hyderabadi Biryani	100	213.18	349.28	375.53
136	Squid	28	9.196	19.824	23.5
137	Lime Soda	100	43.472	0	0.47
138	Mashed Potato	100	339.416	3.776	39.01
139	Rajma	125	71.06	33.04	23.5
140	Pongal	100	153.406	121.776	42.77
141	Cucumber	28	4.18	0	0.94
142	Boiled Beetroot	100	41.8	1.888	7.99
143	Bottlegourd	100	14.17	0.0998	2.914
144	Kesar Pista Kulfi	1	145.882	21.956	48.88
145	Cornflakes	100	329.802	22.455	31.02
146	Vada Pav	2	316.008	100.299	76.14
147	Fruit Punch	1	408.386	0.499	0
148	French Fries	100	163.02	80.339	17.86
149	Ladyfinger	80	16.302	0.998	7.05
150	Brown Bread	1	98.648	12.475	18.33
151	Kheer	100	198.968	64.192	37.6
152	Carrot Slices	100	40.128	1.888	4.32
153	Chicken Sukka	100	40.546	119.888	93.53
154	Chicken Manchow Soup	100	270.864	173.696	157.45
155	Jamoon	100	47.652	2.832	3.29
156	Pear	100	64.79	0.944	1.88
157	Chicken Stroganhoff	50	229.064	50.032	159.8
158	Khari	5	46.816	24.544	7.52
159	Sabudana Wada	4	91.96	66.08	14.1
160	Boost	100	342.76	33.984	36.66
161	Protinex	100	175.56	113.28	159.8
162	Cheese Balls	28	84.854	32.096	1128
163	Sesame Bread Toast	1	47.234	10.384	16.45
164	Ajwain Paratha	1	61.446	10.384	12.69
165	Paneer	100	22.99	8.469	16.92
166	Cornflakes	1	101.574	0	8.93
167	Bhel Puri	10	12.54	37.76	9.4
168	Pomogranate	100	78.166	11.328	7.99
169	Veg Spagetti Pasta	100	127.908	8.496	27.26
170	Mackeral Curry	1	0	27.376	34.31
171	Crab Curry	1	0	3.776	31.02
172	Muskmelon	100	36.784	1.888	3.76
173	Radish	28	12.54	0	4.7
174	Onion Kulcha	1	167.2	66.08	28.2
175	Egg	1	1.4212	41.2528	26.038
176	Vegetable Korma	269	171.38	113.28	42.3
177	Tendli	136	35.112	47.2	4.7
178	Chicken Sausages	100	8.2764	94.4	83.754
179	Mango Juice	61.5	89.87	0	0.47
180	Dam Aloo	230	110.77	138.768	13.63
181	Baby Corn Manchurian	136	83.6	9.44	14.1
182	Bell Peppers	100	19.288	1.888	4.23
183	Cream Wafers	1	17.974	11.328	1.41
184	Sweet Potato	100	86.526	1.888	9.4
185	Banana Chips	100	244.112	317.184	10.81
186	Kitkat Duo	1	113.278	70.8	12.69
187	Jackfruit	100	100.32	2.832	7.05
188	Shepu (Dill)	100	29.26	10.572	16.262
189	Popcorn	100	325.622	39.648	56.4
190	Muffin	1	35.112	31.152	4.23
191	Katal	100	98.23	6.0416	8.084
192	Cheese Dog	100	82.764	150.096	40.89
193	Cheese Fries	100	138.358	106.672	13.16
194	Chicken Fingers	100	91.542	186.912	75.67
195	Waffles	100	137.94	132.16	37.6
196	Chicken Nugget	100	71.896	170.864	70.5
197	Choco Pie	100	123.728	145.376	16.45
198	Eggs Benedict	100	34.7776	203.904	56.212
199	French Dip	100	70.642	70.8	49.35
200	Frybread	100	201.894	115.168	31.49
201	Bagel	100	212.762	15.104	47
202	Lobster Roll	100	186.01	107.616	49.82
203	Burrito	100	137.94	56.64	28.2
204	Muffuletta	100	362.406	328.512	128.78
205	Patty	100	0	151.04	70.5
206	Pork Pepperoni	100	0	415.36	106.69
207	Pop-Tarts	100	269.192	173.696	25.38
208	Sour Cream	100	27.588	184.08	11.28
209	Swiss Steak	100	93.214	45.312	137.24
210	Shrimp Creole	100	47.6102	33.7008	47.893
211	Citron Tea	100	407.968	2.832	2.82
212	Dumplings	100	10.45	21.712	10.81
213	Penne Pasta	100	71.06	37.76	28.2
214	Nacho	100	91.542	113.28	36.66
215	Ravioli	100	51.832	30.208	15.51
216	Creamy Snapper	100	55.176	256.768	155.1
217	Kiwifruit	100	61.446	5	5.17
218	Turkey	100	17.556	16	80.37
219	Chocolate Eclair	100	101.156	148.208	30.08
220	Fried Quail	100	0	133.104	117.97
221	Venison Puffs	100	0	77.408	124.55
222	Chicken Liver	100	4.598	60.416	121.26
223	Boiled Egg	1	2.0482	43.896	25.897
224	Black Gram Curry	100	66.88	37.76	26.32
225	Methi Paratha	1	164.525	105.256	52.405
226	Sabudana Kichdi	100	230.1299	76.6056	31.8331
227	Black Pepper	100	270.906	35.9664	51.465
228	Turmeric	100	271.282	93.2672	36.801
229	Lima Beans	100	84.3106	8.1184	32.148
230	Red Kidney Beans (Canned)	100	65.1662	3.2096	24.675
231	Pasta	100	104.207	9.912	24.205
232	Dal	225	109.432	59.6608	48.692
233	Moong Dal	225	169.039	13.216	75.952
234	Beet Root	225	54.34	2.1712	10.293
235	Chole	100	72.6066	50.6928	16.967
236	Cheeseburger	1	132.715	143.016	69.419
237	Grean Peas	100	60.401	3.776	25.474
238	Matar	100	60.401	3.776	25.474
239	Mango	100	71.06	2.5488	2.35
240	Haldi Pepper Milk	100	47.5914	38.5577	19.9233
241	Chocolate Wafer Sticks	1	18.1412	8.024	1.88
242	Ivy Gourd Fry	100	50.16	47.2	4.7
243	Fried Rice Papad	100	45.98	198.24	216.2
244	Pani Puri	1	17.6396	9.7232	2.303
245	Radishes	100	14.212	0.944	3.196
246	Raw Beets	100	39.9608	1.6048	7.567
247	Raw Makhana	100	321.86	0.944	45.59
248	Dum Aloo	125	103.162	65.7024	18.753
249	Red Or Green Grapes	100	75.24	1.5104	3.384
250	Ginger	100	74.2786	7.08	8.554
251	Garlic	100	138.191	4.72	29.892
252	Curd Curry	100	15.48	27.1	38.35
253	Mushroom Curry	225	70.2658	153.211	20.915
254	Potato Papad	28	238.26	160.48	117.5
255	Paneer Manchurian	100	250.8	37.76	61.1
256	Noodles	225	167.2836	31.152	33.934
257	Potato	100	66.462	0.944	8.883
258	Potato Curry	100	61.028	25.2048	8.084
259	Cooked Mackeral	100	1.7138	130.1776	106.032
260	Brown Bread Slices	30	57.8094	11.8944	13.677
261	Yam Curry	96	84.436	19.824	10.81
262	Rice Bhakri	1	112.86	66.08	0
263	Cheddar Cheese	28.3	1.672	87.792	32.9
264	Gooseberry	100	42.5524	5.4752	4.136
265	Cauliflower	100	20.7746	2.6432	9.024
266	Fish Curry	100	7.942	43.3296	58.28
267	Chicken Samosa	100	120.718	128.95	41.219
268	Chicken Curry	100	19.8132	62.9648	53.909
269	Malai Paneer	55	62.7	103.84	131.6
270	Puran Poli	100	188.6434	21.9008	44.039
271	Appam	100	127.3646	38.8928	21.62
272	Fish Fry	100	4.8488	188.8	90.099
273	Vegetable Vermicelli	100	79.79	5.41	16.85
274	Lime Juice	100	35.1956	0.6608	1.974
275	Arbi Ki Sabji	250	100.32	75.52	14.1
276	White Bread Slices	1	52.877	7.7408	8.977
277	Butter	100	0.2508	765.6784	3.995
278	Avial	100	58.9798	54.5632	8.601
279	Matar Paratha	1	75.24	47.2	18.8
280	Mixed Veg	100	53.2532	28.32	14.1
281	Fruit Punch	100	45.2276	0.5664	0.846
282	Grilled Cheese Sandwich	1	116.413	148.8688	43.052
283	Fish Fingers	100	75.658	68.1568	52.922
284	Marie Biscuit	1	18.392	7.552	9.4
285	Bharma Baigan	100	44.98	32.63	18.49
286	Stuffed Eggplant	100	44.98	32.63	18.49
287	Little Heart Biscuits	100	296.78	169.92	32.9
288	Paneer	100	12.4146	237.2272	65.847
289	Seekh Kebab	100	11.84	16.35	55.69
290	Baked Stuffed Potato With Cheese	100	77.3718	62.8704	22.184
291	Butter Naan	100	178.5696	109.4096	39.903
292	Tandoori Chicken	100	18.392	111.7696	109.792
293	Dalia Upma	100	55.58	17.7	261.2
294	Buttermilk	100	22.154	18.88	19.27
295	Samosa	100	134.6378	168.5984	21.949
296	Hot And Sour Soup	100	8.4854	30.5856	29.093
297	Tendli Fry	100	50.16	47.2	4.7
298	Egg Omelette	100	2.8842	113.469	49.914
299	Fish	100	0	116.112	103.87
300	Bitter Gourd Fry	100	146.3	113.28	145.7
301	Taro Root Fry	100	107.688	59.2	10.3559
302	Arbi Fry	100	107.688	59.2	10.3559
303	Mango Milkshake	100	48.378	3.34055	11.0554
304	Kwality Walls Feast Choco Bar Ice Cream	100	104.5	179.36	14.1
305	Bombay Duck Curry	100	33.1454	302.191	3.45081
306	Herb Cheese	100	17.974	328.512	20.21
307	Bread Upma	100	71.6667	62.4817	12.7432
308	Chana Roasted	100	112.86	28.32	42.3
309	Roasted Gram	100	112.86	28.32	42.3
310	Palak Curry	100	23.7115	31.3647	13.3306
311	Medu Wada	100	111.859	159.549	29.7887
312	Coke	100	41.8836	0.1888	0.329
313	Upma	100	268.714	51.9874	54.5536
314	Milk	100	20.482	32.096	15.51
315	Paneer Tikka Masala	100	5.3504	312.842	117.03
316	Rajasthani Dal	100	209	22.0267	94
317	Soy Chilly	100	28.424	58.1504	53.768
318	Onion Jeera Polao	100	251.58	3.28827	28.2078
319	Steamed Rice	100	117.04	2.6432	12.549
320	Salad	100	7.106	0	0.94
321	Chicken Malabar	100	0	127.346	127.229
322	Corn Spinich	100	36.6168	6.16747	14.006
323	Spinach Mutter	100	34.9814	3.54	16.2499
324	Black Gram Curry	100	66.88	37.76	26.32
325	Methi Paratha	1	164.5248	105.256	52.405
326	Sambar	100	66.2948	38.5152	22.795
327	Aloo Baingan	100	147.6933	60.85303	46.80852
328	Mushroom Gravy	100	22.2794	3.1152	3.854
329	Veg Biryani	100	120.2586	40.2144	18.8
330	Black Eyed Peas	100	82.346	23.9776	14.429
331	Dal Tadka	100	66.462	39.648	29.14
332	Bhindi Masala	100	41.21127	152.9014	13.23943
333	Bhindi	80	16.302	1.888	7.05
334	Masoor Dal	100	50.04225	16.61971	19.85915
335	Rajasthani Gatta (Besan)	100	113.696	5.9	20.5625
336	Veg Kofta Curry	100	17.91429	33.71429	20.14286
337	Dal Makhani	100	94.19718	26.59155	33.09859
338	Black Gram	200	246.62	15.104	117.5
339	Rajma	100	95.304	4.72	40.89
340	Tomatoes	100	16.302	1.888	4.23
341	Cream	28	5.016	30.208	3.76
342	Dal Palak	100	71.06	28.32	14.1
343	Moong Dal	100	76.8284	5.9472	0
344	Mixed Veg	100	53.2532	28.32	14.1
345	Aloo Methi	100	261.2848	89.69223	97.56852
346	Methi (Fenugreek Seed)	100	243.903	60.5104	108.1
347	Chicken Lollipop	100	63.92941	88.84706	77.41177
348	Veg Handi Gravy/ Brown Gravy	100	20.1058	22.2784	17.625
349	Dal Fry	150	75.24	66.08	28.2
350	Cabbage Pea	100	43.3466	12.1304	15.557
351	Chhole Bhature	100	195.7302	32.71534	45.25926
352	Methi Dal	100	226.4515	41.26854	101.05
353	Rajma Masala	100	58.52	18.88	25.06667
354	Egg Biryani	100	196.2928	50.1264	43.287
355	Shev Tomato	100	81.2592	10.69866	36.472
356	Fruits	100	41.8	0	0
357	Lassi	200	83.6	31.152	53.58
358	Steamed Rice	100	117.04	2.6432	12.549
359	Pulse	100	209	22.02666	94
360	Brinjal	100	16.72	2.832	6.58
361	Tea	100	11.704	4.3424	2.444
362	Coffee	101	0.1672	0.1888	0.564
363	Papad	1	70.9346	8.6848	34.075
364	Chicken	100	0	127.3456	127.229
365	Milk	100	20.482	32.096	15.51
366	Whole Wheat Flour	100	292.6	15.73334	62.66665
367	Methi Rice	100	284.4838	13.23174	45.43333
368	Corn Rice	100	246.1955	5.383755	29.04453
369	Peanut Rice	100	216.3289	167.7174	65.847
370	Tomato Rice	100	154.4928	2.832	18.518
371	Green Pea Rice	100	177.9844	13.452	28.623
372	Aloo Paratha	1	159.5506	101.5744	22.325
373	Dhokla	100	38.3306	14.5376	13.536
374	Gram Flour	250	241.604	63.248	105.28
375	Yogurt	62	32.186	1.888	26.79
376	Oil	15	0	141.6	0
377	Papad	28	70.9346	8.6848	34.075
378	Malgudi/Masala Dosa	86	91.96	56.64	23.5
379	Poha	100	78.584	27.0928	10.998
380	Chutney	28	43.681	0.7552	1.786
381	Tomato Chutney	21	20.9	0	0
382	Coconut Chutney	28	12.54	37.76	4.7
383	Coriander Chutney	20	8.36	14.16	0
384	Curd	100	14.421	39.648	55.225
385	Chana Masala	283	75.32862	15.0106	14.947
386	Pav Bhaji	100	50.2854	56.9232	10.199
387	Idli	100	109.9758	5.8528	29.892
388	Sprouts	100	19.6042	4.5312	16.873
389	Mung Sprouts	100	24.8292	1.6992	14.288
390	Coffee	100	16.8872	0.7552	0.846
391	White Bread	100	211.5498	31.0576	35.908
392	Yogurt	100	77.9152	10.856	18.706
393	Icecream	100	101.992	101.1968	16.544
394	Cookie	1	28.842	20.2016	2.538
395	Flour	125	398.772	11.328	60.63
396	Cocoa Powder	20	12.54	6.608	4.7
397	Chocolate Chips	28	74.404	80.24	5.64
398	Eggs	1	1.254	35.872	22.56
399	Motichoor Laddoo	100	265.848	7.552	26.32
400	Gajar Halwa	100	30.2632	17.1808	9.9405
401	Ice-Cream	100	101.992	101.1968	16.544
402	Coconut Cookie	28	78.4168	49.4656	5.64
403	Orange	100	49.115	1.1328	4.418
404	Pineapple	100	52.7934	1.1328	2.538
405	Papaya	100	41.0058	1.3216	2.867
406	Pomogranate	100	78.166	11.328	7.99
407	Gooseberry Pieces	3	63.954	8.496	6.11
408	Soan Papadi	50	137.3827	5.139551	19.21778
409	Sabudana Kichdi	100	230.1305	76.60714	31.83385
410	Sandwich	1	114.0722	114.0352	38.023
411	Pooran Poli	100	238.26	84.96	47
412	Jaggery	250	102.41	0	1.175
413	Ghee	15	0	141.6	0
414	Maida	250	398.772	11.328	60.63
415	Sarson Ka Saag	100	42.636	197.296	12.69
416	Handvi	100	194.1677	7.105376	39.92473
417	Kheer	100	198.968	64.192	37.6
418	Vermicilli	250	342.76	0.944	0.47
419	Badam	28	25.08	132.16	28.2
420	Golden Raisins	28	93.214	0.944	4.23
421	Paneer Manchurian	100	250.8	37.76	61.1
422	Paneer	50	12.54	3.776	9.4
423	Pepper Bell	28	5.434	0	0.94
424	Spring Onion	20	7.524	0	2.35
425	Corn Flour	30	89.452	10.384	12.22
426	Apple Cidar	15	4.18	0	0
427	Tomato Sauce	15	1.045	0.944	2.35
428	Cream Wafers	2	19.228	22.656	2.82
429	Banana Chips	100	242.44	320.96	10.81
430	Avial	100	422.598	32.096	39.95
431	Pumpkin	250	50.16	1.888	8.46
432	Yam	250	156.332	1.888	9.4
433	Colocasia	250	24.244	5.664	18.33
434	Raw Plantain	250	197.296	4.72	8.93
435	Tendli	125	12.958	0.944	5.64
436	Snake Beans	125	33.44	3.776	13.16
437	Ash Gourd	125	12.54	1.888	1.88
438	Mushroom Matar	100	51.414	73.632	15.98
439	Mackeral Curry	100	0	27.376	34.31
440	Mackeral	112	0	147.264	97.76
441	Malai Paneer	100	22.99	8.496	16.92
442	Prawn Risotto	100	58.52	169.92	86.01
443	Pongal	100	153.406	121.776	42.77
444	Dahi Kadi	100	52.25	69.856	25.85
445	Raita	100	42.218	2.832	60.63
446	Kesar Pista Kulfi	1	145.882	41.536	48.88
447	Cream	80	11.704	349.28	9.87
448	Corn Flour	15	89.452	10.384	12.22
449	Pistachios	15	33.44	122.72	28.2
450	Saffron	2	5.434	0.944	0.94
451	Seekh Kebab Veg	100	5.434	7.552	62.51
452	French Beans	80	29.26	0.944	8.46
453	Cabbage	80	25.08	0.944	6.11
454	Carrot	80	41.8	1.888	4.23
455	Green Peas	80	58.52	3.776	23.5
456	Oil	15	0	141.6	0
457	Gram Flour	15	67.716	17.936	29.61
458	American Corn Kernels	100	78.584	8.496	12.22
459	Brocolli	100	27.588	3.776	13.16
460	Paneer Pudina Tikka	100	171.38	188.8	51.7
461	Paneer	200	41.8	15.104	31.49
462	Phudina	100	62.7	8.496	17.86
463	Besan	15	67.716	17.936	29.61
464	Butter	14.2	0	113.28	0.47
465	Jowar Bhakri	100	129.998	33.04	26.32
466	Sorghum Flour	100	311.828	31.152	53.11
467	Haldi Pepper Milk	110	47.59139	38.55768	19.9233
468	Black Pepper	100	270.9058	35.9664	51.465
469	Turmeric	100	271.282	93.2672	36.801
470	Milk	100	20.482	32.096	15.51
471	Black Pepper	5	13.54529	1.79832	2.57325
472	Turmeric	5	13.5641	4.66336	1.84005
473	Curd Curry	100	15.48634	27.10811	38.35327
474	Palak Matar	100	34.9814	3.54	16.2499
475	Water	100	0	0	0
476	Haldi Milk	105	34.0461	36.75936	17.35005
477	Balushahi	50	104.5	122.72	9.4
478	Sugar	100	100	0	0
479	Biscuit	1	14.421	10.1008	1.269
480	Vegetables	188	99.5676	37.3824	24.44
481	Maggi	1	196.46	132.16	32.9
482	Masala Noodles	1	196.46	132.16	32.9
483	Samosa	1	134.6378	168.5984	21.949
484	Protein Shake	250	100.4036	3.3984	212.346
485	Appam	1	63.6614	19.4464	10.81
486	Lemon Tea	1	3.4276	0	0.846
487	Paroota	1	98.7734	12.744	19.223
488	Pepsi	350	171.38	0	0
489	Fish Curry	240	19.1026	104.0288	139.872
490	Chicken Curry	124	25.5398	81.184	69.56
491	Idiyappam	1	40.4624	2.5488	3.384
492	Orange Juice	100	45.562	1.9824	3.431
493	Chicken Biryani	250	200.9326	92.7008	74.73
494	Chicken Tikka	1	12.749	11.4224	42.347
495	Vada	100	171.2546	81.5616	49.773
496	Puttu	2	401.1964	27.6592	33.464
497	Potato Curry	240	149.4768	61.7376	19.787
498	Avial	100	58.9798	54.5632	8.601
499	Black Gram Curry	100	66.88	37.76	26.32
500	Kovakai saute	136	35.112	47.2	4.7
501	Egg Curry	240	75.6998	161.0464	67.163
502	oats porridge	81	247.8322	64.192	30.456
503	Plum sauce	100	178.9458	9.8176	4.183
504	Plum Cake	100	178.9458	9.8176	4.183
505	Beef curry	240	57.2242	288.7696	129.673
506	Banana Fry	1	98.448	89.1	5.311
507	Beef stir fry	162	26.586	65.07	87.091
508	Guava	1	54.138	7.74	10.81
509	Porridge Oats	80	249.018	61.2	30.456
510	Almond	1	1.008	5.49	1.222
511	Chickpeas	200	509.46	108.72	181.42
512	Gram	200	509.46	108.72	181.42
513	Pigeon pea	204	540.54	27.45	209.056
514	Grean pea	94	88.074	5.22	36.942
515	Medu Vada	1	106.26	54.09	38.775
