1	Aloo Baingan	100	147.693	60.853	46.8085
2	Aloo Methi	100	261.285	89.6922	97.5685
3	Aloo Paratha	1	159.551	101.574	22.325
4	Bhindi Masala	100	41.2113	152.901	13.2394
5	Brinjal	100	16.72	2.832	6.58
6	Cabbage Pea	100	43.3466	12.1304	15.557
7	Chana Masala	100	73.986	39.648	25.85
8	Chawali Masala	100	86.944	4.72	36.19
9	Cookie	1	28.842	20.2016	2.538
10	Chapati	1	100.313	5.27696	19.4218
11	Cheese	100	19.6878	254.03	104.387
12	Chhole Bhature	100	162.556	8.74074	34.8148
13	Chicken	100	0	127.346	127.229
14	Chicken Lollipop	100	63.9294	88.8471	77.4118
15	Chicken Malabar	100	0	127.346	127.229
16	Chutney	50	43.681	0.7552	1.786
17	Coconut Chutney	50	12.54	37.76	4.7
18	Coffee	100	0	0	0.47
19	Coriander Chutney	0.7	8.36	14.16	0
20	Corn Rice	100	246.196	5.38375	29.0445
21	Corn Spinach	100	36.6168	6.16747	14.006
22	Curd	100	14.421	39.648	55.225
23	Dal Makhani	100	94.1972	26.5916	33.0986
24	Dal Palak	100	71.06	28.32	14.1
25	Dal Tadka	100	66.462	39.648	29.14
26	Dhokla	100	38.3306	14.5376	13.536
27	Dosa	1	182.621	38.4932	130.049
28	Egg Biryani	100	196.293	50.1264	43.287
29	Gajar Halwa	100	30.2632	17.1808	9.9405
30	Gobi Matar Dry	100	42.7614	12.036	16.826
31	Green Peas Pulav	100	177.984	13.452	28.623
32	Groundnut	100	63.7868	495.6	131.741
33	Idli	100	109.976	5.8528	29.892
34	Lassi	200	83.6	31.152	53.58
35	Malgudi/Masala Dosa	86	91.96	56.64	23.5
36	Masoor Dal	100	50.0423	16.6197	19.8592
37	Methi Dal	100	226.452	41.2685	101.05
38	Methi Rice	100	284.484	13.2317	45.4333
39	Milk	100	20.482	32.096	16
40	Motichoor Laddoo	100	265.848	7.552	26.32
41	Mung Dal	100	58.6667	41.4035	24.7368
42	Mung Sprouts	100	24.8292	1.6992	14.288
43	Mushroom	100	9.614	2.2656	10.152
44	Cooked Spinach	100	15.3824	21.24	13.536
45	Palak	100	15.1734	3.6816	13.442
46	Mushroom Gravy	100	22.2794	3.1152	3.854
47	Egg omelette	1	1.764	65.97	30.456
48	Pulav	100	251.58	3.28827	28.2078
49	Orange	100	49.115	1.1328	4.418
50	Paneer Tikka Masala	100	5.3504	312.842	117.03
51	Papad	28	70.9346	8.6848	34.075
52	Papaya	100	41.0058	1.3216	2.867
53	Pav Bhaji	100	50.2854	56.9232	10.199
54	Peanut	100	63.7868	495.6	131.741
55	Peanut Rice	100	216.329	167.717	65.847
56	Pineapple	100	52.7934	1.1328	2.538
57	Poha	100	78.584	27.0928	10.998
58	Potato	100	278.667	118.874	87.037
59	Rajasthani Dal	100	209	22.0267	94
60	Rajasthani Gatta (Besan)	100	113.696	5.9	20.5625
61	Rice	100	331.641	5.4752	31.067
62	Protein Powder	1	19.0608	7.9296	13.536
63	Paratha	1	154.66	75.52	9.4
64	Fruit Salad	100	55.0088	8.1184	3.149
65	Corn	100	79.5036	11.1392	15.134
66	Cheese Ball	33	37.62	132.16	4.7
67	Upma	120	190.901	35.6832	38.117
68	Roti	1	100.313	5.27696	19.4218
69	Salad	50	7.106	0	0.94
